ProblemSize,E2ETime,AlgoTime
2,0.000076148,0.000000390
4,0.000002546,0.000000491
8,0.000006067,0.000001177
16,0.000027875,0.000007945
32,0.000135517,0.000071345
64,0.000915891,0.000657277
128,0.007101040,0.006110178
256,0.046450773,0.042642516
512,0.203163580,0.191155405
1024,1.437698938,1.409254080
2048,79.502008511,79.390240639
4096,649.182752898,648.631039940
