ProblemSize,E2ETime,AlgoTime
2,0.000002694,0.000001220
4,0.000001506,0.000000537
8,0.000005312,0.000000987
16,0.000018298,0.000005272
32,0.000059388,0.000013211
64,0.000227918,0.000069772
128,0.001276986,0.000526424
256,0.006624601,0.003702784
512,0.035021855,0.024976869
1024,0.223006534,0.189673280
2048,2.734458347,2.614266863
4096,28.930330960,28.455749282
