ProblemSize,E2ETime,AlgoTime
2,0.000001093,0.000000112
4,0.000000872,0.000000145
8,0.000002690,0.000000445
16,0.000013327,0.000003278
32,0.000065328,0.000028373
64,0.000324826,0.000187073
128,0.001976286,0.001442376
256,0.014183227,0.011951305
512,0.101099923,0.092194843
1024,0.795493588,0.762989835
2048,14.366572864,14.241797074
4096,117.805897485,116.782736007
