ProblemSize,E2ETime,AlgoTime
2,0.000001262,0.000000211
4,0.000001080,0.000000233
8,0.000003059,0.000000333
16,0.000014544,0.000001129
32,0.000050845,0.000006839
64,0.000202057,0.000032392
128,0.000855466,0.000268166
256,0.004942017,0.002678262
512,0.032698919,0.023492121
1024,0.203234412,0.168726824
2048,3.460875037,3.335369652
4096,32.542150306,32.039280428
