ProblemSize,E2ETime,AlgoTime
2,0.000028155,0.000026734
4,0.000006270,0.000005285
8,0.000007759,0.000004608
16,0.000019786,0.000005988
32,0.000059650,0.000011667
64,0.000193819,0.000033617
128,0.000723254,0.000167770
256,0.003230275,0.000969459
512,0.017207725,0.006989030
1024,0.075264680,0.041912564
2048,0.459010465,0.336604071
4096,3.228988832,2.758222275
