ProblemSize,E2ETime,AlgoTime
2,0.000001213,0.000000203
4,0.000001038,0.000000224
8,0.000002941,0.000000320
16,0.000013985,0.000001086
32,0.000048889,0.000006576
64,0.000194286,0.000031146
128,0.000822563,0.000257852
256,0.004751939,0.002575252
512,0.031441268,0.022588578
1024,0.195417704,0.162237331
2048,3.327764459,3.207086204
4096,31.290529140,30.807000412
