ProblemSize,E2ETime,AlgoTime
2,0.000001123,0.000000135
4,0.000000914,0.000000165
8,0.000002753,0.000000414
16,0.000013491,0.000002730
32,0.000061218,0.000022924
64,0.000292191,0.000148091
128,0.001687855,0.001146245
256,0.011825405,0.009607292
512,0.083685259,0.074793277
1024,0.645474617,0.612801709
2048,11.606870763,11.483119356
4096,96.177055399,95.288802108
