ProblemSize,E2ETime,AlgoTime
2,0.000000984,0.000000101
4,0.000000785,0.000000130
8,0.000002421,0.000000400
16,0.000011994,0.000002950
32,0.000058795,0.000025536
64,0.000292343,0.000168366
128,0.001778657,0.001298138
256,0.012764904,0.010756175
512,0.090989931,0.082975359
1024,0.715944229,0.686690851
2048,12.929915578,12.817617367
4096,106.025307736,105.104462406
