Particles = 14000000, Maxiter = 10

NX=250 NY=100
----------

--- Threads = 1 ---

(With Insertion/Deletion)
Iter	Interp(s)	Mover(s)	Total(s)
10	0.437704	0.051099	0.488803
SUM	4.377388	0.519711	4.897099

(Without Insertion/Deletion)
Iter	Interp(s)	Mover(s)	Total(s)
1	0.436477	0.047844	0.484321
2	0.688697	0.047298	0.735994
3	0.437419	0.047303	0.484722
4	0.536039	0.051768	0.587807
5	0.437190	0.047259	0.484449
6	0.550759	0.051743	0.602502
7	0.437381	0.047162	0.484543
8	0.483418	0.046635	0.530052
9	0.437404	0.049421	0.486824
10	0.439265	0.051799	0.491064
SUM	4.884049	0.488231	5.372280
