ProblemSize,E2ETime,AlgoTime
2,0.000077380,0.000000327
4,0.000002563,0.000000501
8,0.000006230,0.000001239
16,0.000029463,0.000009127
32,0.000147991,0.000085401
64,0.001065202,0.000799905
128,0.008530026,0.007515391
256,0.055518823,0.051676520
512,0.238907907,0.227333294
1024,1.780344650,1.752783704
2048,103.818020577,103.706391117
4096,847.170701413,846.586769364
