ProblemSize,E2ETime,AlgoTime
2,0.000072451,0.000000579
4,0.000002495,0.000000464
8,0.000005577,0.000000993
16,0.000023111,0.000004398
32,0.000098095,0.000029178
64,0.000467960,0.000229392
128,0.002814081,0.001894540
256,0.019246622,0.015540505
512,0.095930600,0.082621737
1024,0.409761801,0.378665209
2048,6.553972314,6.441789202
4096,55.218907352,54.763851666
