Particles = 14000000, Maxiter = 10

NX=250 NY=100
----------

--- Threads = 1 ---

(With Insertion/Deletion)
Iter	Interp(s)	Mover(s)	Total(s)
Iter	Interp(s)	Mover(s)	Total(s)
1	0.045959	0.009939	0.055898
2	0.046453	0.011628	0.058081
3	0.046835	0.009494	0.056329
4	0.046848	0.009635	0.056483
5	0.046576	0.009965	0.056541
6	0.045963	0.009090	0.055053
7	0.045756	0.009620	0.055376
8	0.045766	0.010323	0.056089
9	0.045536	0.008991	0.054527
10	0.045510	0.008928	0.054438
SUM	0.461202	0.097613	0.558815

--- Threads = 16 ---

(With Insertion/Deletion)
Iter	Interp(s)	Mover(s)	Total(s)
1	0.045949	0.009450	0.055399
2	0.045567	0.009072	0.054639
3	0.045715	0.009579	0.055294
4	0.045880	0.009198	0.055078
5	0.045875	0.009308	0.055183
6	0.045994	0.010349	0.056343
7	0.045990	0.009450	0.055440
8	0.045949	0.009125	0.055074
9	0.045470	0.010231	0.055701
10	0.045728	0.009170	0.054898
SUM	0.458117	0.094932	0.553049

(Without Insertion/Deletion)
Iter	Interp(s)	Mover(s)	Total(s)
1	0.045351	0.010359	0.055710
2	0.045563	0.009295	0.054858
3	0.045473	0.008979	0.054452
4	0.045505	0.009572	0.055077
5	0.045793	0.009636	0.055429
6	0.045866	0.009058	0.054924
7	0.045540	0.008999	0.054539
8	0.045644	0.009747	0.055391
9	0.045561	0.008876	0.054437
10	0.045620	0.008898	0.054518
SUM	0.455916	0.093419	0.549335
